cdlnLanguageCd,cdlnLanguageDsc
ALB, Albanian
AMH, Amharic
ARA, Arabic
ARM, Armenian
BEN, Bengali
BUL, Bulgarian
BUR, Burmese
CAM, Cambodian
CAN, Cantonese
CAR, Carrier
CHL, Chilcotin
CHI, Chinese
CRO, Croatian
CZE, Czech
ENG, English
FAR, Farsi
FIJ, Fijian
FIN, Finnish
FRE, French
GER, German
GRE, Greek
GUJ, Gujarati
HEB, Hebrew
HIN, Hindi
HUN, Hungarian
IIO, Iiocano
IND, Indonesian
INU, Inuit
IRA, Iranian
IRI, Irish
ITA, Italian
JAP, Japanese
KAS, Kashubian
KHM, Khmer
KOR, Korean
KUR, Kurdish
LAO, Laotian
LEP, Lepeno
MAN, Mandarin
MDI, Mandingo
MET, Metis
NOR, Norwegian
NUB, Nubian
PER, Persian
PHI, Phillipino
PDE, Pidgin English
POL, Polish
POR, Portugese
PUN, Punjabi
ROM, Romanian
RUS, Russian
SER, Serbian
SGN, Sign Language
SIN, Sinhalese
SLV, Slovak
SLO, Slovenian
SOM, Somalian
SPA, Spanish
SWA, Swahili
SWE, Swedish
TAG, Tagalog
TAI, Taiwanese
TAM, Tamil
THA, Thai
TIG, Tigrinya
TUR, Turkish
UKR, Ukrainian
UNK, Unknown
URD, Urdu
VIE, Vietnamese
VIS, Visayan
YUG, Yugoslavian
